loan_id,Success,Amount（log),education,success records,credit limit(log),credit report,length,valid characters,ratio of valid characters ,periods,ratio of complex words,theme 1,theme 2,theme 3,theme 4
560326,1,4.8444771757456815,1,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
560345,1,4.6981005456233902,2,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
560488,1,4.6981005456233902,2,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
570497,1,3.6989700043360187,3,1,0,1,80,58,0.72499999999999998,2.32558E-2,4.65116E-2,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
570693,1,3.9030899869919438,1,1,0,0,21,13,0.61904761904761907,0,0,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
571239,1,4,1,1,4,0,37,23,0.6216216216216216,0,0,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
571472,1,4,3,2,0,0,92,66,0.71739130434782605,4.08163E-2,8.1632700000000002E-2,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
571488,1,4.3979400086720375,2,1,0,1,33,21,0.63636363636363635,0.1,0,3.07692307692307E-3,3.07692307692307E-3,0.98769230769230698,3.07692307692307E-3
583320,1,3.9822712330395684,2,4,0,0,21,14,0.66666666666666663,0,0,3.1746031746031698E-3,3.1746031746031698E-3,0.98730158730158701,3.1746031746031698E-3
583412,1,4.0606978403536118,2,4,4.1398790864012369,1,20,14,0.7,0.2,0,3.1746031746031698E-3,3.1746031746031698E-3,0.98730158730158701,3.1746031746031698E-3
583547,1,4,2,1,0,1,23,14,0.60869565217391308,0,0,3.4920634920634901E-2,3.1746031746031698E-3,0.95555555555555505,3.1746031746031698E-3
583558,1,4.6989700043360187,1,2,0,0,337,240,0.71216617210682498,0,2.87356E-2,3.27868852459016E-3,3.27868852459016E-3,0.98688524590163895,3.27868852459016E-3
583621,1,3.4771212547196626,3,1,3.4771212547196626,1,25,13,0.52,0.1875,0,3.07692307692307E-3,3.07692307692307E-3,0.18769230769230699,3.07692307692307E-3
583683,1,5.1109262422664203,3,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,2.8169014084507E-3,2.8169014084507E-3,0.31267605633802797,2.8169014084507E-3
